Graph,n,m,minDeg,maxDeg,Time,Heuristics,variable,value
"I?r~vzv~w
",10,34,5,9,0.001161336898803711,0,RandomSolvable,0.0
"I?r~vz|~w
",10,34,5,9,0.000331878662109375,0,RandomSolvable,0.0
"I?r~vz}~w
",10,34,1,9,0.001718759536743164,1,RandomSolvable,0.0
"I?r~vz~~w
",10,35,5,9,0.00043487548828125,0,RandomSolvable,0.0
"I?r~v~}nw
",10,34,5,8,0.0004956722259521484,0,RandomSolvable,0.0
"I?r~v~}zw
",10,34,4,8,0.00042247772216796875,0,RandomSolvable,1.0
"I?r~v~}|w
",10,34,5,8,0.0005729198455810547,0,RandomSolvable,0.0
"I?r~v~}~o
",10,34,5,8,0.0013859272003173828,0,RandomSolvable,0.0
"I?r~v~}~w
",10,35,5,9,0.0009753704071044922,0,RandomSolvable,0.0
"I?r~v~~~w
",10,36,5,9,0.001218557357788086,0,RandomSolvable,0.0
"I?r~~~~~w
",10,37,5,9,0.0004363059997558594,0,RandomSolvable,0.0
"I?zTv~~~w
",10,34,5,9,0.0004603862762451172,0,RandomSolvable,0.0
"I?zTz~~~w
",10,34,5,9,0.0011515617370605469,0,RandomSolvable,0.0
"I?zT|~~~w
",10,34,4,9,0.000408172607421875,0,RandomSolvable,1.0
"I?zT~^~~w
",10,34,4,9,0.0006458759307861328,0,RandomSolvable,0.0
"I?zT~v~~w
",10,34,5,9,0.0004570484161376953,0,RandomSolvable,0.0
"I?zT~z~~w
",10,34,5,9,0.0004239082336425781,0,RandomSolvable,0.0
"I?zT~~}~w
",10,34,5,9,0.0004897117614746094,0,RandomSolvable,0.0
"I?zT~~~~w
",10,35,5,9,0.0006396770477294922,0,RandomSolvable,0.0
"I?zUv~~~w
",10,34,4,9,0.0012276172637939453,0,RandomSolvable,0.0
"I?zVV~~~w
",10,34,4,9,0.0005424022674560547,0,RandomSolvable,0.0
"I?zV]~~~w
",10,34,4,9,0.0006372928619384766,0,RandomSolvable,0.0
"I?zV^^~~w
",10,34,3,9,0.000423431396484375,0,RandomSolvable,0.0
"I?zV^z~~w
",10,34,4,9,0.0008914470672607422,0,RandomSolvable,0.0
"I?zV^~}~w
",10,34,4,9,0.0005993843078613281,0,RandomSolvable,0.0
"I?zV^~~~w
",10,35,4,9,0.0006296634674072266,0,RandomSolvable,0.0
"I?zVf~~~w
",10,34,5,9,0.0003809928894042969,0,RandomSolvable,0.0
"I?zVu~~~w
",10,34,4,9,0.0008573532104492188,0,RandomSolvable,0.0
"I?zVv^~~w
",10,34,4,9,0.0006165504455566406,0,RandomSolvable,0.0
"I?zVvn~~w
",10,34,5,9,0.0006134510040283203,0,RandomSolvable,0.0
"I?zVvv~~w
",10,34,5,9,0.00103759765625,0,RandomSolvable,0.0
"I?zVvz~~w
",10,34,5,9,0.00040411949157714844,0,RandomSolvable,1.0
"I?zVv~}~w
",10,34,5,9,0.0003769397735595703,0,RandomSolvable,0.0
"I?zVv~~~w
",10,35,5,9,0.0008997917175292969,0,RandomSolvable,0.0
"I?zV~z}~w
",10,34,5,9,0.000972747802734375,0,RandomSolvable,0.0
"I?zV~z~~o
",10,34,5,8,0.00041556358337402344,0,RandomSolvable,0.0
